wavelength(nm)	 TX(1-1)	 Angle(1-1)	wavelength(nm).1	TX(1-2)	 Angle(1-2)	TX(1-3)	 Angle(1-3)	 TX(1-4)	 Angle(1-4)	TX(1-5)	 Angle(1-5)	 TX(1-6)	 Angle(1-6)	TX(1-7)	 Angle(1-7)	  TX(1-8)	 Angle(1-8)
1589.51	2.71961e-05	89.2084															
1589.4	3.58005e-05	90.2926															
1589.3	4.67385e-05	91.3768															
1589.19	6.05439e-05	92.461															
1589.09	7.78512e-05	93.5452															
1588.98	9.94111e-05	94.6294															
1588.88	0.000126107	95.7136															
1588.77	0.000158976	96.7978															
1588.67	0.000199225	97.882															
1588.56	0.000248261	98.9662															
1588.46	0.000307711	100.05															
1588.35	0.000379453	101.135															
1588.25	0.000465649	102.219															
1588.14	0.000568776	103.303															
1588.04	0.000691663	104.387															
1587.93	0.000837539	105.471															
1587.83	0.00101007	106.555															
1587.72	0.00121341	107.64															
1587.62	0.00145227	108.724															
1587.51	0.00173194	109.808															
1587.41	0.0020584	110.892															
1587.3	0.00243833	111.976															
1587.2	0.00287926	113.06															
1587.09	0.00338958	114.144															
1586.99	0.00397866	115.229															
1586.88	0.00465695	116.313															
1586.78	0.00543605	117.397															
1586.67	0.00632889	118.481															
1586.57	0.00734974	119.565															
1586.46	0.00851444	120.649															
1586.36	0.00984048	121.733															
1586.25	0.0113472	122.817															
1586.15	0.0130557	123.901															
1586.04	0.0149896	124.986															
1585.94	0.0171746	126.07															
1585.83	0.0196389	127.154															
1585.73	0.0224134	128.238															
1585.62	0.0255321	129.322															
1585.52	0.0290322	130.406															
1585.41	0.0329542	131.49															
1585.31	0.0373423	132.574															
1585.2	0.0422449	133.658															
1585.1	0.0477146	134.742															
1585.0	0.0537084	135.827															
1584.89	0.0579848	136.911															
1584.79	0.0625275	137.995															
1584.68	0.067348	139.08															
1584.58	0.0724584	140.164															
1584.47	0.0778709	141.249															
1584.37	0.0835979	142.333															
1584.26	0.0896523	143.417															
1584.16	0.0960471	144.502															
1584.05	0.102795	145.586															
1583.95	0.109911	146.67															
1583.84	0.117407	147.755															
1583.74	0.125298	148.839															
1583.64	0.133599	149.924															
1583.53	0.142323	151.008															
1583.43	0.151485	152.092															
1583.32	0.161101	153.177															
1583.22	0.171186	154.261															
1583.11	0.181754	155.346															
1583.01	0.192823	156.43															
1582.9	0.204407	157.514															
1582.8	0.216522	158.599															
1582.7	0.229185	159.683															
1582.59	0.242413	160.768															
1582.49	0.256222	161.852															
1582.38	0.270629	162.937															
1582.28	0.28565	164.021															
1582.17	0.301304	165.105															
1582.07	0.317607	166.19															
1581.97	0.334577	167.274															
1581.86	0.352231	168.359															
1581.76	0.370587	169.443															
1581.65	0.389664	170.528															
1581.55	0.409478	171.612															
1581.44	0.430049	172.696															
1581.34	0.451394	173.781															
1581.24	0.473531	174.865															
1581.13	0.496478	175.95															
1581.03	0.520255	177.034															
1580.92	0.544878	178.119															
1580.82	0.570367	179.203															
1580.72	0.59674	180.288															
1580.61	0.624014	181.372															
1580.51	0.652209	182.457															
1580.4	0.681341	183.541															
1580.3	0.71143	184.626															
1580.19	0.742492	185.71															
1580.09	0.774545	186.794															
1579.99	0.803292	187.879															
1579.88	0.802529	188.963															
1579.78	0.801451	190.048															
1579.67	0.800062	191.132															
1579.57	0.798363	192.216															
1579.47	0.796359	193.3															
1579.36	0.794052	194.385															
1579.26	0.791446	195.469															
1579.16	0.788545	196.553															
1579.05	0.785353	197.637															
1578.95	0.781873	198.722															
1578.84	0.778111	199.806															
1578.74	0.77407	200.89															
1578.64	0.769755	201.975															
1578.53	0.765171	203.059															
1578.43	0.760322	204.143															
1578.32	0.755215	205.227															
1578.22	0.749853	206.312															
1578.12	0.744242	207.396															
1578.01	0.738388	208.48															
1577.91	0.732296	209.564															
1577.81	0.725971	210.649															
1577.7	0.719421	211.733															
1577.6	0.71265	212.817															
1577.49	0.705664	213.901															
1577.39	0.69847	214.986															
1577.29	0.691073	216.07															
1577.18	0.683481	217.154															
1577.08	0.675699	218.238															
1576.98	0.667734	219.323															
1576.87	0.659592	220.407															
1576.77	0.651281	221.491															
1576.67	0.642806	222.575															
1576.56	0.634176	223.659															
1576.46	0.625396	224.744															
1576.35	0.616473	225.828															
1576.25	0.607415	226.912															
1576.15	0.598229	227.996															
1576.04	0.588922	229.081															
1575.94	0.579501	230.165															
1575.84	0.569973	231.249															
1575.73	0.560346	232.333															
1575.63	0.550627	233.417															
1575.53	0.540823	234.502															
1575.42	0.530943	235.586															
1575.32	0.520992	236.67															
1575.22	0.51098	237.754															
1575.11	0.500913	238.838															
1575.01	0.490799	239.923															
1574.91	0.462139	241.007															
1574.8	0.433077	242.091															
1574.7	0.405571	243.175															
1574.6	0.379553	244.259															
1574.49	0.354957	245.343															
1574.39	0.331719	246.428															
1574.29	0.309778	247.512															
1574.18	0.289074	248.596															
1574.08	0.26955	249.68															
1573.98	0.251151	250.764															
1573.87	0.233823	251.848															
1573.77	0.21751500000000001	252.933															
1573.67	0.202178	254.017															
1573.56	0.187764	255.101															
1573.46	0.174228	256.185															
1573.36	0.161524	257.269															
1573.25	0.149612	258.353															
1573.15	0.138451	259.438															
1573.05	0.128001	260.522															
1572.95	0.118225	261.606															
1572.84	0.109088	262.69															
1572.74	0.100555	263.774															
1572.64	0.0925924	264.858															
1572.53	0.0851695	265.943															
1572.43	0.078256	267.027															
1572.33	0.0718229	268.111															
1572.22	0.0658427	269.195															
1572.12	0.060289	270.279															
1572.02	0.0551368	271.364															
1571.92	0.050362	272.448															
1571.81	0.0459417	273.532															
1571.71	0.0418542	274.616															
1571.61	0.0380788	275.701															
1571.5	0.0345957	276.785															
1571.4	0.0313862	277.869															
1571.3	0.0284325	278.953															
1571.19	0.0257177	280.037															
1571.09	0.0232258	281.122															
1570.99	0.0209416	282.206															
1570.89	0.0188507	283.29															
1570.78	0.0169397	284.374															
1570.68	0.0151955	285.459															
1570.58	0.0136062	286.543															
1570.48	0.0121602	287.627															
1570.37	0.0108469	288.711															
1570.27	0.00965606	289.796															
1570.17	0.00857822	290.88															
1570.06	0.00760441	291.964															
1569.96	0.00661856	293.048															
1569.86	0.00559356	294.133															
1569.76	0.0047139	295.217															
1569.65	0.00396089	296.302															
1569.55	0.00331799	297.386															
1569.45	0.0027706	298.47															
1569.35	0.00230586	299.555															
1569.24	0.00191247	300.639															
1569.14	0.0015805	301.723															
1569.04	0.00130127	302.808															
1568.94	0.00106718	303.892															
